Heading,Description,Response Options (if applicable),,,,
essay_id_num,Each writing assignment upload has a unique identifier.  The characters before the underdash matches the unique participant identifier and the characters after the underdash signals the upload number.,N/A,,,,
Student_ID,Each participant has a unique identifier.,N/A,,,,
course_discipline,Academic subject,"? Biology
? Business
? Computer Science
? Criminology 
? English
? History
? Sociology",,,,
Upload_survey_Q1,Maps to post-upload survey question 3: Did anyone help you to complete your assignment?,"a. A parent, brother, sister or other relative 
b. A teacher 
c. A tutor 
d. Someone else 
e. No one helped me ",,,,
Upload_survey_Q2,Post-upload survey question 4: How much did the writing assignment help you to explore or to better understand the topic that you wrote about?,"a. A lot
b. Somewhat
c. A little
d. Not at all",,,,
Upload_survey_Q3,"Post-upload survey question 5: I feel like I have a lot of experience writing papers like this one.
","0 = No
1 = Yes",,,,
Upload_survey_Q4,"Post-upload survey question 2: If you used an electronic device (computer, tablet, or phone) to complete your assignment, did you use a spell- or grammar- checker while you were writing?","0 = No
1 = Yes",,,,
Upload_survey_Q5,Post-upload survey question 1: Select the choice below that best describes how you completed your assignment?,"a. I handwrote the assignment first, then I typed it onto an electronic device (such as computer, tablet, or phone).
b. I completed the assignment on a laptop or desktop computer.
c. I completed the assignment on a tablet (such as an iPad) 
d. I completed the assignment on a phone (such as an iPhone or Android)",,,,
Ufeat_system_4_NonGen_Fr1000_words,"Normalized number of sentences containing an elaborated argument (for argumentative/persuasive essays), based on model 5 in Beigman Klebanov, B., Gyawali, B., & Song, Y. (2017). Detecting good arguments in a non-
topic-specific way – an oxymoron? In Proceedings of the 54th annual meeting of the Association for Computational Linguistics, Companion Volume: Short Papers, ACL-17, Vancouver, Canada, July-August, pp. 244-249.",,,,,
Ufeat_system_4_NonGen_prop_sent,"Proportion of sentences containing an elaborated argument (for argumentative/persuasive essays),  based on model 5 in Beigman Klebanov, B., Gyawali, B., & Song, Y. (2017). Detecting good arguments in a non-
topic-specific way – an oxymoron? In Proceedings of the 54th annual meeting of the Association for Computational Linguistics, Companion Volume: Short Papers, ACL-17, Vancouver, Canada, July-August, pp. 244-249.",,,,,
Ufeat_verb_metaphor_raw_count,"Number of metaphorically used verbs in the essay, based on the v-16 system in Beigman Klebanov, B., Leong, C., Flor, M. (2018). A corpus of non-native written English 
annotated for metaphor.  In Proceedings of the Annual Meeting of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 2 (Short Papers), pp. 86-91. New Orleans, Louisiana, USA, June.",,,,,
Ufeat_proportion_verb_metaphor,"Proportion of metaphorically used verbs out of all verbs in the essay, based on the v-16 system in Beigman Klebanov, B., Leong, C., Flor, M. (2018). A corpus of non-native written English annotated for metaphor.  In Proceedings of the Annual Meeting of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 2 (Short Papers), pp. 86-91. New Orleans, Louisiana, USA, June.",,,,,
Ufeat_log_1000_proportion_verb_metaphor,"Log-scaled proportion of metaphorically used verbs out of all verbs in the essay, based on the v-16 system in Beigman Klebanov, B., Leong, C., Flor, M. (2018). A corpus of non-native written English annotated for metaphor.  In Proceedings of the Annual Meeting of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 2 (Short Papers), pp. 86-91. New Orleans, Louisiana, USA, June.",,,,,
Ufeat_uv_ArgNar,"Utility value score (the extent to which the essay writer reflects on the utility of science education to his or her personal and social life) using the ArgNar feature sets from Beigman Klebanov, B., Burstein, J., Harackiewicz, J., Priniski, S., & Mulholland, M. (2017). 	Reflective writing about the utility value of science as a tool for increasing STEM 
motivation and retention – an AI help scale it up? International Journal of Artificial Intelligence in Education, 27(4): 7891-818.",,,,,
Ufeat_uv_ArgNarGeneralPronouns,"Utility value score (the extent to which the essay writer reflects on the utility of science education to his or her personal and social life) using the ArgNar+GeneralVoc+Pronouns feature sets from Beigman Klebanov, B., Burstein, J., Harackiewicz, J., Priniski, S., & Mulholland, M. (2017). 	Reflective writing about the utility value of science as a tool for increasing STEM 
motivation and retention – an AI help scale it up? International Journal of Artificial Intelligence in Education, 27(4): 7891-818.",,,,,
Ufeat_uv_General,"Utility value score  (the extent to which the essay writer reflects on the utility of science education to his or her personal and social life) using the GeneralVoc feature set from Beigman Klebanov, B., Burstein, J., Harackiewicz, J., Priniski, S., & Mulholland, M. (2017).	Reflective writing about the utility value of science as a tool for increasing STEM 
motivation and retention – an AI help scale it up? International Journal of Artificial Intelligence in Education, 27(4): 7891-818.",,,,,
Ufeat_uv_Pronouns,"Utility value score  (the extent to which the essay writer reflects on the utility of science education to his or her personal and social life) using the Pronouns feature set from Beigman Klebanov, B., Burstein, J., Harackiewicz, J., Priniski, S., & Mulholland, M. (2017). 	Reflective writing about the utility value of science as a tool for increasing STEM 
motivation and retention – an AI help scale it up? International Journal of Artificial Intelligence in Education, 27(4): 7891-818.",,,,,
Ufeat_avgPosETSL,"ETS Sentiment Wordlist: Average Positive Affect. The Sentiment ETS Word List is a list of English words with associated positive and negative polarity scores. The scores for each words in the list are averages from the scores assigned per word in an experimental setting. See publication ""Beigman Klebanov, Madnani, Burstein (2013). Using Pivot-Based Paraphrasing and Sentiment Profiles to Improve a Subjectivity Lexicon for Essay Data. The list was automatically expanded to include all inflectional variants of the original words. When ""Average Positive Affect"" is computed per text, we consider only text-words that have positive affect, sum their scores from the List, and divide by total count of words in the text.",,,,,
Ufeat_avgNegETSL,"ETS Sentiment Wordlist: Average Negative Affect. The Sentiment ETS Word List is a list of English words with associated positive and negative polarity scores. The scores for each words in the list are averages from the scores assigned per word in an experimental setting. See publication  ""Beigman Klebanov, Madnani, Burstein (2013). Using Pivot-Based Paraphrasing and Sentiment Profiles to Improve a Subjectivity Lexicon for Essay Data.   The list was automatically expanded to include all inflectional variants of the original words. When ""Average Negative Affect"" is computed per text, we consider only text-words that have negative affect, sum their scores from the List, and divide by total count of words in the text.
",,,,,
Ufeat_avgSaturationETSL,"ETS Sentiment Wordlist: Average Saturation. The Sentiment ETS Word List is a list of English words with associated positive and negative polarity scores. The scores for each words in the list are averages from the scores assigned per word in an experimental setting. See publication  ""Beigman Klebanov, Madnani, Burstein (2013). Using Pivot-Based Paraphrasing and Sentiment Profiles to Improve a Subjectivity Lexicon for Essay Data.   The list was automatically expanded to include all inflectional variants of the original words. When ""Average Saturation"" is computed per text, we consider only the magnitude of the scores (but not their polarity), so as to estimate the affective 'intensity' of a text.
",,,,,
Ufeat_avgPosVADER,"VADER Sentiment Wordlist: Average Positive Affect. The VADER Sentiment Word List is a list of English words with associated positive or polarity scores. The scores for each words in the list are averages from the scores assigned per word in an experimental setting. See publication  ""Hutto & Gilbert (2014). VADER: A Parsimonious Rule-based Model for Sentiment Analysis of Social Media Text. ICWSM14 conference.""   The list was automatically expanded to include all inflectional variants of the original words. When ""Average Positive Affect"" is computed per text, we consider only text-words that have positive affect, sum their scores from the List, and divide by total count of words in the text.
",,,,,
Ufeat_avgNegVADER,"VADER Sentiment Wordlist: Average Negative Affect. The VADER Sentiment Word List is a list of English words with associated positive or polarity scores. The scores for each words in the list are averages from the scores assigned per word in an experimental setting. See publication  ""Hutto & Gilbert (2014). VADER: A Parsimonious Rule-based Model for Sentiment Analysis of Social Media Text. ICWSM14 conference.""   The list was automatically expanded to include all inflectional variants of the original words. When ""Average Negative Affect"" is computed per text, we consider only text-words that have negative affect, sum their scores from the List, and divide by total count of words in the text.
",,,,,
Ufeat_avgSaturationVADER,"VADER Sentiment Wordlist: Average Saturation (Sum of all affect scores divided by number of included words). The VADER Sentiment Word List is a list of English words with associated positive or polarity scores. The scores for each words in the list are averages from the scores assigned per word in an experimental setting. See publication  ""Hutto & Gilbert (2014). VADER: A Parsimonious Rule-based Model for Sentiment Analysis of Social Media Text. ICWSM14 conference.""   The list was automatically expanded to include all inflectional variants of the original words. When ""Average Saturation"" is computed per text, we consider only the magnitude of the scores (but not their polarity), so as to estimate the affective 'intensity' of a text. 
",,,,,
Ufeat_max_lsa5,Latent semantic analysis values computed for long-distance sentence pairs (long distance >= 5 intervening sentences).,,,,,
Ufeat_VocabularyRichness3,"Aggregate feature composed of a number of text-based vocabulary-related measures (e.g., morphological complexity, relatedness of words in a text).",,,,,
