Student_ID,Participating_Course_Grade,FINAL_SAT_total,StudySemester_cumGPA,StudySemester_plusone_cumGPA,StudySemester_plustwo_cumGPA,StudySemester_plusthree_cumGPA,StudySemester_plusfour_cumGPA,StudySemester_plusfive_cumGPA,Q1.1_Writing_Attitudes_Survey,Q1.2_Writing_Attitudes_Survey,Q1.3_Writing_Attitudes_Survey,Q1.4_Writing_Attitudes_Survey,Q1.5_Writing_Attitudes_Survey,Q1.6_Writing_Attitudes_Survey,Q1.7_Writing_Attitudes_Survey,Q1.8_Writing_Attitudes_Survey,Q1.9_Writing_Attitudes_Survey,Q1.10_Writing_Attitudes_Survey,Q1.11_Writing_Attitudes_Survey,Q2.1_Writing_Attitudes_Survey,Q2.2_Writing_Attitudes_Survey,Q2.3_Writing_Attitudes_Survey,Q2.4_Writing_Attitudes_Survey,Q2.5_Writing_Attitudes_Survey,Q2.6_Writing_Attitudes_Survey,Q2.7_Writing_Attitudes_Survey,Q2.8_Writing_Attitudes_Survey,Q2.9_Writing_Attitudes_Survey,Q2.10_Writing_Attitudes_Survey,Q2.11_Writing_Attitudes_Survey,Q2.12_Writing_Attitudes_Survey,Q2.13_Writing_Attitudes_Survey,Q2.14_Writing_Attitudes_Survey,Q2.15_Writing_Attitudes_Survey,Q2.16_Writing_Attitudes_Survey,Q2.17_Writing_Attitudes_Survey,Q2.18_Writing_Attitudes_Survey,Q2.19_Writing_Attitudes_Survey,Q2.20_Writing_Attitudes_Survey,Q2.21_Writing_Attitudes_Survey,Q2.22_Writing_Attitudes_Survey,Q3.1_Writing_Attitudes_Survey,Q3.2_Writing_Attitudes_Survey,Q3.3_Writing_Attitudes_Survey,Q3.4_Writing_Attitudes_Survey,Q3.5_Writing_Attitudes_Survey,Q3.6_Writing_Attitudes_Survey,Q3.7_Writing_Attitudes_Survey,Q3.8_Writing_Attitudes_Survey,Q3.9_Writing_Attitudes_Survey,Q3.10_Writing_Attitudes_Survey,Q3.11_Writing_Attitudes_Survey,Q3.12_Writing_Attitudes_Survey,Q4.1_Writing_Attitudes_Survey,Q4.2_Writing_Attitudes_Survey,Q4.3_Writing_Attitudes_Survey,Q4.4_Writing_Attitudes_Survey,Q4.5_Writing_Attitudes_Survey,Q5.2_recoded_Writing_Attitudes_Survey,rQ4.2_Writing_Attitudes_Survey,rQ4.5_Writing_Attitudes_Survey,Survey_conf,Survey_Blf_Cont,Survey_Blf_Conv,Survey_G_Master,Survey_G_Perform,Survey_G_Avoid,Survey_Affection
WF0001,4,1036.86,2.717,2.69,2.718999999, , , ,4,Does not describe me at all,Does not describe me at all,4,Does not describe me at all,Does not describe me at all,Describes me very well,Does not describe me at all,Does not describe me at all,Does not describe me at all,4,90,80,60,80,Completely Sure,60,Completely Sure,Completely Sure,90,40,90,90,Completely Sure,Completely Sure,Completely Sure,90,Completely Sure,Completely Sure,Completely Sure,90,80,80,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,1,5,5,1920,29,13,17,5,3,24
WF0002,4,970,4,4,4,4,3.918918918,3.93258427,Describes me very well,2,2,Describes me very well,2,4,4,Does not describe me at all,2,2,Describes me very well,90,90,90,90,90,Completely Sure,Completely Sure,Completely Sure,90,90,90,Completely Sure,90,90,90,Completely Sure,90,Completely Sure,Completely Sure,Completely Sure,80,90,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,1,5,5,2050,27,19,19,11,8,25
WF0003,3,1036.86,2,2.25,2.25,2.81,2.71,2.734, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0004,2,870,3,2.556,2.255999999,1.847, , ,Describes me very well,Describes me very well,Describes me very well,4,Somewhat describes me,Somewhat describes me,Somewhat describes me,4,4,4,Describes me very well,40,50/50 Chance,Completely Sure,70,70,70,70,70,70,70,70,60,60,60,70,80,70,70,70,90,70,60,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,1,1,3,1510,21,17,17,19,12,11
WF0005, ,1036.86,0.3, , , , , ,4,Does not describe me at all,Does not describe me at all,Somewhat describes me,Somewhat describes me,4,Somewhat describes me,Does not describe me at all,Does not describe me at all,Somewhat describes me,Somewhat describes me,90,80,90,Completely Sure,90,80,90,90,Completely Sure,Completely Sure,90,70,70,90,80,80,70,70,90,90,80,70,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,1,4,4,1860,21,14,13,12,6,19
WF0006, ,1280,0,0, , ,0,0,Describes me very well,Describes me very well,2,Describes me very well,4,Somewhat describes me,4,Somewhat describes me,2,4,4,80,80,80,90,90,80,90,90,Completely Sure,90,90,80,90,90,Completely Sure,80,90,90,Completely Sure,90,80,80,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,1,5,5,1930,29,12,18,19,7,25
WF0007,3,1036.86,3.57,2.61,2.61,2.83,2.77,2.813,4,2,Somewhat describes me,Describes me very well,4,Somewhat describes me,Somewhat describes me,Somewhat describes me,4,Somewhat describes me,4,80,80,80,80,80,90,90,90,80,80,80,70,70,80,80,80,80,80,80,80,70,70,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,4,3,1750,25,15,16,15,10,18
WF0008,4,1036.86,3.85,3.9,3.9,3.5,3.47,3.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WF0009,4,1210,3.684210526,3.684210526, , ,3.684210526,3.684210526,4,Describes me very well,2,4,2,4,4,Somewhat describes me,Does not describe me at all,4,4,90,80,80,70,90,80,70,80,80,80,80,60,80,90,60,60,70,40,70,80,80,60,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,1,2,1,1630,19,18,16,18,7,11
WF0010,2,1036.86,2.466666667,2.814814815,2.948717949,3.019607843,3.196969697,3.297619048,Somewhat describes me,4,2,Describes me very well,4,Describes me very well,Somewhat describes me,4,4,Describes me very well,Describes me very well,80,80,90,Completely Sure,70,60,90,90,Completely Sure,50/50 Chance,80,30,Completely Sure,Completely Sure,80,90,80,90,Completely Sure,80,70,Completely Sure,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,1,5,5,1810,24,16,16,22,11,22
