essay_id_num,Student_ID,course_discipline,Upload_survey_Q1,Upload_survey_Q2,Upload_survey_Q3,Upload_survey_Q4,Upload_survey_Q5,Ufeat_system_4_NonGen_Fr1000_words,Ufeat_system_4_NonGen_prop_sent,Ufeat_verb_metaphor_raw_count,Ufeat_proportion_verb_metaphor,Ufeat_log_1000_proportion_verb_metaphor,Ufeat_uv_ArgNar,Ufeat_uv_ArgNarGeneralPronouns,Ufeat_uv_General,Ufeat_uv_Pronouns,Ufeat_avgPosETSL,Ufeat_avgNegETSL,Ufeat_avgSaturationETSL,Ufeat_avgPosVADER,Ufeat_avgNegVADER,Ufeat_avgSaturationVADER,Ufeat_max_lsa5,Ufeat_VocabularyRichness3,Ufeat_COLPREP,Ufeat_DIS_COH,Ufeat_GRAMMATICALITY,Ufeat_GUMS101,Ufeat_GUMS102,Ufeat_GUMS103,Ufeat_GUMS104,Ufeat_GUMS105,Ufeat_GUMS106,Ufeat_GUMS107,Ufeat_GUMS108,Ufeat_GUMS109,Ufeat_GUMS201,Ufeat_GUMS202,Ufeat_GUMS203,Ufeat_GUMS204,Ufeat_GUMS205,Ufeat_GUMS206,Ufeat_GUMS207,Ufeat_GUMS208,Ufeat_GUMS209,Ufeat_GUMS210,Ufeat_GUMS301,Ufeat_GUMS302,Ufeat_GUMS303,Ufeat_GUMS304,Ufeat_GUMS305,Ufeat_GUMS306,Ufeat_GUMS307,Ufeat_GUMS308,Ufeat_GUMS309,Ufeat_GUMS310,Ufeat_GUMS311,Ufeat_GUMS312,Ufeat_GUMS401,Ufeat_GUMS402,Ufeat_GUMS403,Ufeat_GUMS404,Ufeat_GUMS405,Ufeat_GUMS406,Ufeat_GUMS501,Ufeat_GUMS502,Ufeat_GUMS503,Ufeat_GUMS504,Ufeat_GUMS505,Ufeat_GUMS506,Ufeat_LOGDTA,Ufeat_LOGDTU,Ufeat_SVF,Ufeat_WORDLN_2,Ufeat_k,Ufeat_m,Ufeat_m_minus_k,Ufeat_m_minus_k_over_n,Ufeat_sentences_between_m_and_k,Ufeat_paragraphs_between_m_and_k,Ufeat_TopicDev_largestElabTopic_4.5,Ufeat_TopicDev_largestElabTopic_4.5_logFr1000,Ufeat_Sources,Ufeat_Sources_norm,Ufeat_claims,Ufeat_claims_agnostic,Ufeat_claims_agnostic_norm,Ufeat_claims_boost,Ufeat_claims_boost_norm,Ufeat_claims_hedge,Ufeat_claims_hedge_norm,Ufeat_claims_norm,Ufeat_complex_clauses,Ufeat_complex_clauses_norm,Ufeat_contractions,Ufeat_contractions_norm,Ufeat_gum_errors,Ufeat_gum_errors_norm,Ufeat_pronouns,Ufeat_pronouns_norm,Ufeat_section_and_citation_headers,Ufeat_section_and_citation_headers_norm,Ufeat_sentence_count,Ufeat_sentence_count_norm,Ufeat_transition_terms,Ufeat_transition_terms_norm,Ufeat_typestokens,Ufeat_unnecessary_words,Ufeat_unnecessary_words_norm,Ufeat_verb_choice,Ufeat_verb_choice_norm,Ufeat_word_count,GenreAnnotation_External_Sources_Required,GenreAnnotation_Source_Use,GenreAnnotation_Genre_Classification_Bin,GenreAnnotation_Writing_Aim,GenreAnnotation_Annotator,GenreAnnotation_Version
WF0001_U1,WF0001,Business,No one helped me,A lot,0,1,I completed the assignment on a laptop or desktop computer.,6.605232705,0.710526316,8,0.103896104,4.652970374,2.655740484,3.416914639,3.42147794,3.338149027,0.168479655,0.030050934,0.198513611,0.039558574,-0.002843803,0.042402377,0.91325,0.469639751,0.512800454,-0.618723802,2.682500171,6.935825611,1.129235548,0,0,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,46.87160426,0,0,8,0,0,0,7,28,0,3,0,3.978831675,2.397895273,3.621588851,4.739795918,10,590,580,0.873493976,36,7,6,1.001566909,0,0,16,11,0.016566265,1,0.001506024,4,0.006024096,0.024096386,7,0.010542169,0,0,19,0.028614458,60,0.090361446,2,0.003012048,40,0.060240964,12,0.018072289,0.405120482,5,0.00753012,1,0.001506024,664,,Yes,3,Reflect,Annotator3,Final
WF0002_U1,WF0002,English,No one helped me,A lot,0,1,"I handwrote the assignment first, then I typed it onto an electronic device (such as computer, tablet, or phone).",6.754055242,0.84375,16,0.098159509,4.596729758,3.358259397,3.19978444,3.37230605,3.222457564,0.096060076,0.054417581,0.150477657,0.016658584,-0.020489816,0.0371484,0.89642,0.321898195,0.64214905,-2.076417917,3.243029476,7.406626484,3.654580965,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,2,102.2045606,0,0,7,0,0,1,2,57,0,4,0,4.840242308,2.079441542,4.200410335,4.770750988,29,1090,1061,0.911512027,60,6,17,1.193258513,3,0.00257732,56,41,0.035223368,9,0.007731959,6,0.005154639,0.048109966,24,0.020618557,9,0.007731959,10,0.008591065,111,0.095360825,2,0.001718213,68,0.058419244,32,0.027491409,0.33419244,3,0.00257732,3,0.00257732,1164,,Yes,2,Inform/Explore,Annotator2,Final
WF0002_U2,WF0002,English,No one helped me,A lot,0,1,"I handwrote the assignment first, then I typed it onto an electronic device (such as computer, tablet, or phone).",6.697617474,0.767857143,12,0.1,4.615120517,3.340990409,3.237448526,3.247250203,3.036391159,0.143522584,0.0418993,0.185421885,0.0306875,-0.01240625,0.04309375,1,0.507945658,0.77981189,-0.093964231,2.991424384,8.677954594,2.985929362,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,6,0,1,0,4,0,5,0,0,0,0,3,100.2579697,0,0,11,1,0,0,4,46,0,6,0,4.1756685,2.48490665,4.224834752,5.226632522,228,737,509,0.546723953,24,0,12,1.142682431,8,0.008592911,14,8,0.008592911,3,0.003222342,3,0.003222342,0.015037594,12,0.012889366,8,0.008592911,13,0.01396348,48,0.051557465,1,0.001074114,59,0.063372718,13,0.01396348,0.395273899,0,0,1,0.001074114,931,,Yes,2,Inform/Explore,Annotator2,Final
WF0002_U3,WF0002,English,No one helped me,A lot,0,1,I completed the assignment on a tablet (such as an iPad).,6.168202034,0.476190476,14,0.172839506,5.158132495,2.911033151,3.468957592,3.519734031,3.364300636,0.13820132,0.021693952,0.159895273,0.029748823,-0.004788069,0.034536892,1,0.236409802,0.649234796,-0.892669014,2.978385493,4.115255478,1.902358271,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,33,0,2,1,2,0,0,0,0,0,0,0,54.87710572,0,0,8,0,0,0,1,20,2,18,1,5.345518968,1.098612289,3.241740288,4.488076312,14,567,553,0.793400287,33,0,16,1.379405669,0,0,17,14,0.020086083,2,0.00286944,1,0.00143472,0.024390244,12,0.017216643,0,0,36,0.051649928,82,0.117647059,0,0,40,0.057388809,10,0.014347202,0.43472023,4,0.005738881,1,0.00143472,697,,No,3,Reflect,Annotator2,Draft
WF0002_U4,WF0002,English,No one helped me,A lot,0,1,"I handwrote the assignment first, then I typed it onto an electronic device (such as computer, tablet, or phone).",6.609648884,0.685714286,26,0.302325581,5.714806755,3.269290111,3.477268918,3.481630198,3.523529021,0.088794797,0.024375933,0.11317073,0.017592593,-0.00238604,0.019978632,0.91513,0.220126711,0.637444795,-0.241086129,2.937518499,2.831460881,2.04523081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.17831631,0,0,0,0,1,0,4,26,0,5,0,4.247065649,2.302585093,3.893661692,4.467811159,3,761,758,0.985695709,37,4,23,1.490084571,0,0,25,22,0.028608583,1,0.00130039,2,0.00260078,0.032509753,15,0.019505852,2,0.00260078,1,0.00130039,64,0.083224967,0,0,39,0.050715215,20,0.026007802,0.417425228,5,0.006501951,1,0.00130039,769,,No,3,Reflect,Annotator2,Final
WF0002_U5,WF0002,English,No one helped me,A lot,0,1,I completed the assignment on a tablet (such as an iPad).,6.589993248,0.731707317,15,0.172413793,5.155680606,3.002193578,3.386816706,3.409098515,3.431044543,0.150295492,0.02026116,0.170556652,0.034016393,-0.004098361,0.038114754,0.85601,0.256716118,0.718289837,-0.932676827,3.364912308,3.085380696,1.790246453,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.14866401,0,0,5,0,0,1,4,33,0,3,0,4.019381524,2.48490665,3.36062676,4.226047904,15,596,581,0.793715847,36,4,16,1.359036775,0,0,22,18,0.024590164,2,0.00273224,2,0.00273224,0.030054645,13,0.017759563,0,0,2,0.00273224,89,0.121584699,0,0,45,0.06147541,11,0.015027322,0.404371585,4,0.005464481,1,0.00136612,732,,No,3,Reflect,Annotator2,Final
WF0002_U6,WF0002,English,No one helped me,A little,0,1,"I handwrote the assignment first, then I typed it onto an electronic device (such as computer, tablet, or phone).",6.419363805,0.576923077,10,0.144927536,4.983110171,3.139903417,3.33732523,3.503095854,3.241066971,0.108973504,0.038183011,0.147156516,0.021653543,-0.007874016,0.029527559,0.68283,0.323847662,0.67257946,-0.202265828,3.117804783,2.02599065,1.407986139,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,46.21208755,0,0,0,0,0,4,4,18,0,0,0,3.828641396,2.397895273,3.740466881,4.733201581,268,369,101,0.181981982,3,0,9,1.235937708,0,0,12,4,0.007207207,0,0,8,0.014414414,0.021621622,7,0.012612613,3,0.005405405,5,0.009009009,38,0.068468468,0,0,30,0.054054054,16,0.028828829,0.484684685,1,0.001801802,0,0,555,,No,1,Persuade,Annotator2,Final
WF0002_U7,WF0002,English,No one helped me,A lot,0,1,"I handwrote the assignment first, then I typed it onto an electronic device (such as computer, tablet, or phone).",6.602908936,0.683333333,8,0.067226891,4.22283878,3.342118519,3.356874233,3.255422564,3.246312568,0.112518063,0.031182649,0.143700712,0.014236746,-0.007678245,0.021914991,0.95128,0.528194614,0.651185407,-0.079274251,2.874741036,10.64709772,3.317346006,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,16,0,5,0,1,0,2,1,0,0,0,0,122.9922512,0,0,8,0,2,0,4,50,0,3,3,4.553876892,2.397895273,4.605560013,4.944497608,6,1125,1119,0.919474117,61,5,25,1.333292416,2,0.001643385,46,31,0.025472473,8,0.006573541,7,0.005751849,0.037797864,18,0.014790468,1,0.000821693,21,0.017255546,61,0.050123254,1,0.000821693,64,0.052588332,23,0.018898932,0.377978636,2,0.001643385,5,0.004108463,1217,,Yes,1,Persuade,Annotator2,Final
WF0007_U1,WF0007,History,A teacher,A little,0,1,I completed the assignment on a laptop or desktop computer.,6.17608783,0.594594595,12,0.136363636,4.922631689,3.302018551,0.959005987,3.408098999,0.950938785,0.097321094,0.088391581,0.185712674,0.015577508,-0.026823708,0.042401216,0.89047,0.385366217,0.636852243,-0.199690789,2.947230267,3.402440294,2.384331119,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,5,2,0,0,0,0,2,0,0,0,0,0,58.89963878,0,0,0,1,1,0,5,22,4,6,0,3.999728586,2.48490665,4.089637461,4.861068702,7,634,627,0.831564987,41,6,19,1.418283704,0,0,23,18,0.023872679,2,0.00265252,3,0.00397878,0.030503979,14,0.018567639,5,0.0066313,18,0.023872679,24,0.031830239,1,0.00132626,45,0.059681698,21,0.027851459,0.407161804,1,0.00132626,2,0.00265252,754,Yes,Yes,2,Inform/Explore,Annotator1,Final
WF0008_U1,WF0008,English,No one helped me,A lot,0,1,I completed the assignment on a laptop or desktop computer.,6.785682348,0.905263158,43,0.154676259,5.047778588,2.978171892,3.302335047,3.201975653,3.12913936,0.108489204,0.029067227,0.137556431,0.020783582,-0.006579602,0.027363184,1,0.452699563,0.535283677,-3.167761037,2.813544081,12.67782697,8.455934449,0,6,3,0,3,0,1,1,5,11,0,0,0,0,0,0,0,4,0,2,1,5,0,9,0,0,0,0,2,253.9222306,0,0,11,1,3,0,3,89,0,3,0,5.398162702,2.197224577,4.047342373,4.775766717,93,1994,1901,0.847525635,87,9,19,0.976386576,4,0.001783326,93,55,0.024520731,23,0.010254124,15,0.006687472,0.041462327,35,0.015604102,2,0.000891663,50,0.022291574,199,0.088720464,1,0.000445831,104,0.046366473,61,0.02719572,0.279536335,8,0.003566652,5,0.002229157,2243,Yes,Yes,2,Inform/Explore,Annotator1,Final
